id,name,price,old_price,discount_percent,dimensions,sleeping_dimensions,url,image_url,scraped_at
63,Диван прямой Льери Мини Velvet Yellow,95540.0,136700.0,30.0,164 x 105 x 85 см,200 x 140 x 44 см,https://www.divan.ru/product/divan-leri-mini-velvet-yellow,https://cdn0.divan.ru/img/v1/KmWIqqKAoTT3f5GIfamU7TXwNjEQmksbSVudfwQ3N4w/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ0NDI1NzIucG5n.jpg,2025-08-26 04:57:49.491974
64,Диван угловой Онте Bucle Eclipse,161690.0,191090.0,15.0,240 x 170 x 83 см,199 x 134 x 45 см,https://www.divan.ru/product/divan-uglovoj-onte-bucle-eclipse,https://cdn0.divan.ru/img/v1/i9-QsCX0LzoUo79rBH1Rehi5JWo9YtGaTbzaH7Nn1N4/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ1MzY0OTQucG5n.jpg,2025-08-26 04:57:49.491974
65,Диван модульный Спейс-М 1 Lazy Latte,124910.0,145490.0,14.0,272 x 112 x 83 см,249 x 156 x 39 см,https://www.divan.ru/product/divan-modulnyj-spejs-m-1-lazy-latte,https://cdn0.divan.ru/img/v1/tWwEXPUdUYRrsc69qscLp4LSjHg_IGFuDe6iwSfZokU/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU2NTk5MTEucG5n.jpg,2025-08-26 04:57:49.491974
66,Диван прямой Эби Velvet Coral,98480.0,152870.0,35.0,254 x 122 x 87 см,200 x 158 x 42 см,https://www.divan.ru/product/divan-ebi-velvet-coral,https://cdn0.divan.ru/img/v1/DVqpORfn7lvilrAJuzvJSfdNLlsrQz3oV2CikA6T5Zo/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ4NDI5NjQucG5n.jpg,2025-08-26 04:57:49.491974
67,Диван модульный Риббл-1 Bucle Mint,116110.0,,,243 x 108 x 72 см,,https://www.divan.ru/product/modulnyj-divan-ribbl-1-bucle-mint,https://cdn0.divan.ru/img/v1/tsl-b1YQJ8fPH_v7hHRBDISvZEjl0-rAFwx2dkkok_U/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ4MTcxNjEucG5n.jpg,2025-08-26 04:57:49.491974
68,Диван прямой Виена Velvet Smoke,95540.0,129350.0,26.0,258 x 119 x 86 см,200 x 158 x 40 см,https://www.divan.ru/product/divan-viena-time-grey,https://cdn0.divan.ru/img/v1/RSPlppzUXM2l5RzmAm9WNYaZFe0HLMRYHMkMFE4vRZY/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQxNzAwNDcucG5n.jpg,2025-08-26 04:57:49.491974
69,Кушетка Ринт Bucle Yellow,32330.0,35270.0,8.0,130 x 55 x 84 см,,https://www.divan.ru/product/kushetka-rint-bucle-yellow,https://cdn0.divan.ru/img/v1/a3-abJ2zPqkLKjhqYACnNpaDvSlBko8q_j6TRhFFBOE/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUxOTY3MzEucG5n.jpg,2025-08-26 04:57:49.491974
70,Диван модульный Brera-7 Velour Mix,263090.0,,,286 x 155 x 75 см,,https://www.divan.ru/product/modulnyj-divan-brera-7-velour-mix,https://cdn0.divan.ru/img/v1/VjaEFpkHgjIU0aSrgBulEtppfqyj5Nmpw36zB3hOQGo/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUwNTk2MTcucG5n.jpg,2025-08-26 04:57:49.491974
71,Диван угловой Эдвин Velvet Terra,113180.0,151400.0,25.0,260 x 156 x 90 см,199 x 138 x 47 см,https://www.divan.ru/product/divan-uglovoj-edvin-velvet-terra,https://cdn0.divan.ru/img/v1/zj-vqCd1vc9jPDExEPyuFDkI76MECMCFWkGfUFWNNIw/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUwNzQ2MzAucG5n.jpg,2025-08-26 04:57:49.491974
72,Диван угловой Аллаум Linia Stone,83780.0,105830.0,20.0,214 x 152 x 94 см,200 x 135 x 45 см,https://www.divan.ru/product/divan-uglovoj-allaum-linia-stone,https://cdn0.divan.ru/img/v1/DwV_mO2ul2_mvD64HDInpGrEtmEYJkSgkycwSFUo5vw/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUzMzU3NTIucG5n.jpg,2025-08-26 04:57:49.491974
